brand,model,year,engine,fuel,color,mileage,doors,transmission,price,image
Volkswagen,Nivus,2024,200TSI,FLEX,PRATA,12500,4,AUTOMATICO,100000,https://s3.amazonaws.com/blog.dentrodahistoria.com.br/wp-content/uploads/2022/09/14102229/relampago-mcqueen.png
Renault,Kwid,2021,1.0,FLEX,PRETO,65000,4,MANUAL,40000,https://s3.amazonaws.com/blog.dentrodahistoria.com.br/wp-content/uploads/2022/09/14102548/Sally.png
Toyota,Corolla,2020,2.0,GASOILNA,PRATA,35000,4,AUTOMATICO,89000,https://s3.amazonaws.com/blog.dentrodahistoria.com.br/wp-content/uploads/2022/09/14102229/relampago-mcqueen.png
Toyota,Corolla,2020,2.0,HIBRIDO,PRATA,35000,4,AUTOMATICO,89000,https://s3.amazonaws.com/blog.dentrodahistoria.com.br/wp-content/uploads/2022/09/14103242/Ramone.png
Ford,Fiesta,2018,1.6,GASOILNA,VERMELHO,30000,4,MANUAL,55000,https://s3.amazonaws.com/blog.dentrodahistoria.com.br/wp-content/uploads/2022/09/14103027/Chick-Hicks.png
Chevrolet,Onix,2021,1.0,FLEX,BRANCO,15000,4,AUTOMATICO,78000,https://s3.amazonaws.com/blog.dentrodahistoria.com.br/wp-content/uploads/2022/09/14102548/Sally.png
Volkswagen,Golf,2022,1.4,Turbodiesel,AZUL,10000,4,Dualogic,95000,https://s3.amazonaws.com/blog.dentrodahistoria.com.br/wp-content/uploads/2022/09/14103548/doc-hudson.png
Fiat,Punto,2017,1.8,FLEX,Roxo,45000,4,MANUAL,60000,https://s3.amazonaws.com/blog.dentrodahistoria.com.br/wp-content/uploads/2022/09/14102229/relampago-mcqueen.png
Renault,Sandero,2019,1.0,FLEX,LARANJA,25000,4,CVT,67000,https://s3.amazonaws.com/blog.dentrodahistoria.com.br/wp-content/uploads/2022/09/14102752/Strip-Weathers.png
Peugeot,208,2020,1.6,FLEX,CINZA,20000,4,Dualogic,72000,https://s3.amazonaws.com/blog.dentrodahistoria.com.br/wp-content/uploads/2022/09/14102752/Strip-Weathers.png
Nissan,Kicks,2021,1.6,FLEX,VERMELHO,12000,5,CVT,93000,https://s3.amazonaws.com/blog.dentrodahistoria.com.br/wp-content/uploads/2022/09/14102548/Sally.png
Honda,Civic,2019,1.5,FLEX,PRETO,42000,4,AUTOMATICO,85000,https://s3.amazonaws.com/blog.dentrodahistoria.com.br/wp-content/uploads/2022/09/14103548/doc-hudson.png
Hyundai,HB20,2021,1.0,FLEX,BRANCO,18000,4,MANUAL,72000,https://s3.amazonaws.com/blog.dentrodahistoria.com.br/wp-content/uploads/2022/09/14103242/Ramone.png
Jeep,Renegade,2022,1.8,FLEX,Verde,8000,4,AUTOMATICO,112000,https://s3.amazonaws.com/blog.dentrodahistoria.com.br/wp-content/uploads/2022/09/14103548/doc-hudson.png
Mitsubishi,Outlander,2020,2.2,DIESEL,PRATA,30000,5,AUTOMATICO,175000,https://s3.amazonaws.com/blog.dentrodahistoria.com.br/wp-content/uploads/2022/09/14102229/relampago-mcqueen.png
BMW,320i,2019,2.0,GASOILNA,PRETO,25000,4,AUTOMATICO,195000,https://s3.amazonaws.com/blog.dentrodahistoria.com.br/wp-content/uploads/2022/09/14102229/relampago-mcqueen.png
Audi,A3,2021,1.4,GASOILNA,AZUL,10000,4,AUTOMATICO,210000,https://s3.amazonaws.com/blog.dentrodahistoria.com.br/wp-content/uploads/2022/09/14102915/Mack.png
Kia,Sportage,2020,2.0,GASOILNA,CINZA,22000,5,AUTOMATICO,140000,https://s3.amazonaws.com/blog.dentrodahistoria.com.br/wp-content/uploads/2022/09/14102436/Mate.png
Chevrolet,Tracker,2021,1.2,FLEX,BRANCO,14000,5,AUTOMATICO,125000,https://s3.amazonaws.com/blog.dentrodahistoria.com.br/wp-content/uploads/2022/09/14103548/doc-hudson.png
Volkswagen,T-Cross,2022,1.0,FLEX,AZUL,7000,5,AUTOMATICO,135000,https://s3.amazonaws.com/blog.dentrodahistoria.com.br/wp-content/uploads/2022/09/14102436/Mate.png
Toyota,Yaris,2020,1.5,FLEX,PRATA,27000,4,CVT,85000,https://s3.amazonaws.com/blog.dentrodahistoria.com.br/wp-content/uploads/2022/09/14103242/Ramone.png
Ford,EcoSport,2019,1.5,FLEX,VERMELHO,35000,5,AUTOMATICO,78000,https://s3.amazonaws.com/blog.dentrodahistoria.com.br/wp-content/uploads/2022/09/14102548/Sally.png
Fiat,Argo,2021,1.3,FLEX,PRATA,16000,4,MANUAL,69000,https://s3.amazonaws.com/blog.dentrodahistoria.com.br/wp-content/uploads/2022/09/14102915/Mack.png
